iter	MultiClass
0	1.779662813
1	1.654794947
2	1.554560595
3	1.47165464
4	1.401254655
5	1.340602326
6	1.287644055
7	1.240899454
8	1.199315341
9	1.162061697
10	1.128735077
11	1.098435771
12	1.071010304
13	1.0460402
14	1.023252255
15	1.00229411
16	0.9831052188
17	0.9654274084
18	0.9492450165
19	0.9342423717
20	0.9203518827
21	0.9075115294
22	0.8956826282
23	0.8846419069
24	0.8744687827
25	0.8650531438
26	0.8562244351
27	0.8480566602
28	0.8405911308
29	0.8335205322
30	0.8268811831
31	0.8209116503
32	0.8152035476
33	0.8098967882
34	0.8048916668
35	0.8001944906
36	0.795952163
37	0.7920086878
38	0.7882168464
39	0.7849040834
40	0.7815738181
41	0.7784381801
42	0.775488865
43	0.772837246
44	0.7704565179
45	0.7679336167
46	0.7656905941
47	0.7635172651
48	0.7614935726
49	0.759754016
50	0.7579239521
51	0.7562598181
52	0.7546308988
53	0.7530854964
54	0.7516743831
55	0.7505059888
56	0.7492249599
57	0.7479749935
58	0.7469888225
59	0.7458881247
60	0.7452570972
61	0.7443773589
62	0.7434484775
63	0.7426523611
64	0.7419761326
65	0.7412599064
66	0.7406133213
67	0.7398589896
68	0.7392933459
69	0.7386169071
70	0.7381971156
71	0.7376130236
72	0.7372315479
73	0.7368102322
74	0.7362459025
75	0.7357823816
76	0.735361644
77	0.7349963566
78	0.7346213457
79	0.7341986108
80	0.7338295917
81	0.7334737649
82	0.7332048713
83	0.7327922279
84	0.7325147671
85	0.7321728685
86	0.7319702523
87	0.7318244001
88	0.7315610777
89	0.7312877166
90	0.7310527238
91	0.7308200435
92	0.7306032888
93	0.7303413856
94	0.7301302021
95	0.729987083
96	0.7298430704
97	0.7295977759
98	0.7294001528
99	0.7292157746
100	0.7290663484
101	0.7288972124
102	0.7287572994
103	0.728645348
104	0.7284673295
105	0.7283709883
106	0.7282540437
107	0.7280925288
108	0.7279375313
109	0.7278632124
110	0.7277555183
111	0.7275930574
112	0.7275398673
113	0.7274073652
114	0.7273004595
115	0.7272155236
116	0.7271476169
117	0.7270625233
118	0.7269601377
119	0.7268273728
120	0.7267797015
121	0.7267144228
122	0.7266119846
123	0.7265384015
124	0.7264527298
125	0.7263711051
126	0.7263224877
127	0.7262641469
128	0.7261968709
129	0.7261244441
130	0.7260328332
131	0.7259760691
132	0.7258736309
133	0.7257957905
134	0.7257630986
135	0.725666442
136	0.7256252355
137	0.7255782474
138	0.7255329938
139	0.7254451671
140	0.7254082179
141	0.7253674319
142	0.7253233871
143	0.7252460723
144	0.725183369
145	0.7251178801
146	0.7250663194
147	0.7250076106
148	0.7249738675
149	0.7249014407
150	0.7248636505
151	0.7248324303
152	0.7247964797
153	0.7247730908
154	0.7247732485
155	0.7247326201
156	0.7246661325
157	0.7245973323
158	0.7245618548
159	0.7245338932
160	0.724532842
161	0.724483226
162	0.7244148463
163	0.7243776868
164	0.7243280708
165	0.7242722528
166	0.7242435554
167	0.7242061857
168	0.7241349678
169	0.7240934985
170	0.7240467732
171	0.7240197577
172	0.7239883272
173	0.7239596824
174	0.7239370818
175	0.7238983982
176	0.723874799
177	0.7238497808
178	0.7238252881
179	0.7238004801
180	0.7237699431
181	0.7237540702
182	0.7237350963
183	0.7237144404
184	0.7236666114
185	0.7236277175
186	0.7235979164
187	0.7235468287
188	0.7235469338
189	0.7235128228
190	0.7234942168
191	0.7234538512
192	0.723428833
193	0.7233699139
194	0.7233267627
195	0.7233113628
196	0.7232910224
197	0.7232560178
198	0.7232559653
199	0.7232357299
200	0.7232015664
201	0.723184905
202	0.723168454
203	0.7231434357
204	0.7231000743
205	0.7230999166
206	0.7230746355
207	0.7230478828
208	0.7230251772
209	0.7229986873
210	0.7229608971
211	0.7229453395
212	0.7229312011
213	0.7229132783
214	0.7228980361
215	0.7228865256
216	0.7228367519
217	0.7228072661
218	0.7227849284
219	0.7227657968
220	0.7227469806
221	0.7227222777
222	0.7227036717
223	0.7226774446
224	0.7226688774
225	0.7226558427
226	0.7226366059
227	0.7226203125
228	0.7225856234
229	0.7225683839
230	0.7225684365
231	0.7225413159
232	0.7225230778
233	0.7225016335
234	0.7224883886
235	0.7224618987
236	0.7224476551
237	0.7224304682
238	0.7223950958
239	0.7223801163
240	0.7223671867
241	0.7223594605
242	0.7223388047
243	0.7223125776
244	0.7222759437
245	0.7222485603
246	0.7222379433
247	0.7222155005
248	0.7222059347
249	0.7221927948
250	0.7221675138
251	0.7221546367
252	0.7221419699
253	0.7221314055
254	0.7221248882
255	0.7221016044
256	0.7220875185
257	0.7220682817
258	0.7220581903
259	0.7220430007
260	0.7220311223
261	0.7220208732
262	0.7220116228
263	0.7219993239
264	0.7219836086
265	0.7219583276
266	0.7219464492
267	0.7219242691
268	0.7219106037
269	0.7218827472
270	0.721875021
271	0.7218476376
272	0.7218256678
273	0.7218157866
274	0.7217984946
275	0.7217813603
276	0.7217522424
277	0.7217278023
278	0.7217165546
279	0.7216778709
280	0.7216553755
281	0.7216448111
282	0.7216255744
283	0.7216021329
284	0.7215863125
285	0.7215687577
286	0.7215538309
287	0.7215253437
288	0.721517197
289	0.7215112578
290	0.7215021125
291	0.7214838218
292	0.7214685796
293	0.7214563858
294	0.7214341007
295	0.7214178598
296	0.7214057712
297	0.721398045
298	0.7213848
299	0.7213609381
300	0.7213484815
301	0.7213403874
302	0.7213200995
303	0.7212905085
304	0.7212658056
305	0.7212529812
306	0.7212427847
307	0.7212315895
308	0.721225808
309	0.7212129309
310	0.7212015256
311	0.7211793981
312	0.7211583218
313	0.7211482304
314	0.7211214777
315	0.7211054471
316	0.7210941994
317	0.7210822684
318	0.7210639778
319	0.7210414824
320	0.7210315486
321	0.7210230866
322	0.7210147822
323	0.7210049011
324	0.7209910779
325	0.7209624857
326	0.7209506598
327	0.7209397275
328	0.7209337357
329	0.7209265876
330	0.7209117659
331	0.7208980479
332	0.7208856439
333	0.7208637267
334	0.7208466449
335	0.7208226778
336	0.7208155823
337	0.7208009708
338	0.7207961879
339	0.7207848876
340	0.7207768986
341	0.7207654407
342	0.7207595015
343	0.7207361126
344	0.7207219741
345	0.7207066793
346	0.7206974289
347	0.7206841314
348	0.7206658407
349	0.7206591657
350	0.7206433979
351	0.7206330962
352	0.7206234253
353	0.7206111264
354	0.72059436
355	0.7205809574
356	0.72057218
357	0.7205587248
358	0.7205531535
359	0.7205481078
360	0.7205333386
361	0.7205198309
362	0.7205104227
363	0.720500489
364	0.7204900297
365	0.7204716865
366	0.7204662729
367	0.7204525023
368	0.7204371024
369	0.7204302697
370	0.7204218077
371	0.7204143968
372	0.7203930051
373	0.7203824933
374	0.720369406
375	0.7203568443
376	0.7203485399
377	0.7203388165
378	0.7203255715
379	0.7203208412
380	0.7203078065
381	0.7202985034
382	0.7202820524
383	0.7202748517
384	0.7202666525
385	0.7202494656
386	0.7202249729
387	0.7202131471
388	0.7201990612
389	0.7201833985
390	0.7201775118
391	0.7201643194
392	0.7201451353
393	0.7201261614
394	0.7201055581
395	0.7200879507
396	0.7200777016
397	0.7200558895
398	0.7200444316
399	0.7200298201
400	0.720021358
401	0.7200147881
402	0.7200045916
403	0.7199925555
404	0.7199826743
405	0.7199587598
406	0.719933689
407	0.7199197608
408	0.7199124551
409	0.7199040981
410	0.7198976859
411	0.7198930607
412	0.7198847563
413	0.7198745072
414	0.7198537463
415	0.7198446009
416	0.7198239451
417	0.719814064
418	0.7198066531
419	0.7197844205
420	0.7197637121
421	0.7197496788
422	0.7197416372
423	0.7197390092
424	0.7197287076
425	0.7197075262
426	0.7196969092
427	0.719692284
428	0.7196691578
429	0.7196565962
430	0.7196465573
431	0.7196246926
432	0.7196162306
433	0.7196048778
434	0.7195954696
435	0.7195788083
436	0.7195690848
437	0.7195602023
438	0.7195526338
439	0.7195369711
440	0.7195328189
441	0.7195208879
442	0.7195039113
443	0.7194991284
444	0.7194927161
445	0.7194760548
446	0.7194694323
447	0.7194562925
448	0.7194458332
449	0.7194322729
450	0.7194161371
451	0.71940757
452	0.7193984772
453	0.7193870193
454	0.719365102
455	0.7193557465
456	0.7193413452
457	0.7193335139
458	0.7193236327
459	0.7193155911
460	0.7193036076
461	0.7192893114
462	0.7192749627
463	0.7192629267
464	0.7192559363
465	0.7192505752
466	0.7192436374
467	0.7192374879
468	0.7192202485
469	0.7192128902
470	0.7191996978
471	0.7191965442
472	0.7191836146
