iter	Passed	Remaining
0	19	24190
1	37	24079
2	56	24032
3	75	23994
4	93	23777
5	112	23710
6	131	23760
7	149	23650
8	168	23691
9	188	23766
10	206	23735
11	225	23685
12	243	23604
13	262	23613
14	281	23571
15	299	23531
16	317	23490
17	336	23430
18	354	23406
19	372	23362
20	391	23356
21	410	23330
22	429	23324
23	448	23325
24	467	23327
25	486	23319
26	505	23306
27	524	23311
28	542	23273
29	561	23273
30	579	23233
31	598	23199
32	616	23182
33	636	23181
34	655	23175
35	673	23137
36	692	23123
37	711	23107
38	729	23097
39	748	23081
40	767	23066
41	785	23032
42	804	23012
43	822	22979
44	841	22964
45	860	22948
46	879	22940
47	897	22903
48	915	22879
49	934	22847
50	952	22829
51	971	22801
52	990	22790
53	1008	22756
54	1026	22730
55	1045	22716
56	1064	22708
57	1083	22687
58	1101	22670
59	1121	22668
60	1139	22647
61	1157	22617
62	1177	22609
63	1196	22594
64	1215	22586
65	1233	22555
66	1251	22518
67	1269	22504
68	1289	22502
69	1308	22489
70	1327	22476
71	1346	22463
72	1365	22447
73	1384	22439
74	1404	22429
75	1422	22405
76	1441	22396
77	1460	22380
78	1479	22365
79	1498	22339
80	1517	22333
81	1536	22314
82	1554	22287
83	1573	22269
84	1592	22251
85	1610	22228
86	1629	22217
87	1649	22206
88	1668	22193
89	1686	22174
90	1706	22163
91	1724	22136
92	1743	22118
93	1762	22108
94	1780	22082
95	1800	22069
96	1818	22044
97	1837	22027
98	1855	22000
99	1874	21982
100	1892	21963
101	1912	21958
102	1931	21941
103	1950	21925
104	1969	21913
105	1989	21897
106	2007	21880
107	2026	21860
108	2045	21842
109	2064	21831
110	2084	21817
111	2101	21788
112	2119	21757
113	2138	21740
114	2156	21717
115	2176	21709
116	2195	21694
117	2213	21662
118	2231	21640
119	2249	21616
120	2268	21598
121	2287	21584
122	2306	21565
123	2325	21549
124	2345	21536
125	2364	21525
126	2383	21510
127	2402	21494
128	2422	21482
129	2440	21455
130	2459	21437
131	2477	21416
132	2496	21400
133	2515	21383
134	2534	21361
135	2552	21343
136	2572	21331
137	2591	21313
138	2610	21299
139	2630	21288
140	2649	21268
141	2667	21248
142	2687	21235
143	2706	21219
144	2725	21201
145	2744	21185
146	2763	21164
147	2781	21144
148	2800	21122
149	2818	21097
150	2837	21082
151	2856	21064
152	2875	21046
153	2893	21024
154	2912	21004
155	2930	20986
156	2951	20977
157	2969	20957
158	2989	20944
159	3007	20922
160	3026	20904
161	3045	20888
162	3064	20869
163	3083	20852
164	3101	20827
165	3120	20812
166	3139	20793
167	3158	20777
168	3177	20757
169	3196	20738
170	3214	20715
171	3233	20696
172	3252	20680
173	3271	20663
174	3290	20643
175	3309	20628
176	3327	20605
177	3346	20587
178	3365	20572
179	3384	20554
180	3403	20534
181	3422	20514
182	3440	20494
183	3459	20474
184	3477	20449
185	3495	20426
186	3513	20404
187	3531	20381
188	3551	20367
189	3570	20351
190	3589	20331
191	3606	20306
192	3626	20293
193	3645	20276
194	3664	20256
195	3682	20237
196	3702	20220
197	3720	20198
198	3739	20179
199	3757	20157
200	3776	20139
201	3795	20121
202	3815	20109
203	3833	20088
204	3851	20067
205	3871	20050
206	3890	20034
207	3909	20016
208	3927	19995
209	3947	19981
210	3965	19959
211	3984	19939
212	4002	19918
213	4021	19901
214	4040	19882
215	4058	19862
216	4078	19846
217	4096	19826
218	4116	19811
219	4134	19790
220	4153	19772
221	4171	19750
222	4190	19732
223	4209	19714
224	4228	19693
225	4247	19675
226	4265	19655
227	4284	19637
228	4302	19614
229	4321	19595
230	4338	19572
231	4358	19555
232	4376	19535
233	4395	19515
234	4413	19493
235	4431	19470
236	4449	19452
237	4468	19432
238	4486	19409
239	4505	19390
240	4523	19370
241	4542	19353
242	4562	19337
243	4579	19312
244	4598	19294
245	4616	19274
246	4636	19258
247	4655	19240
248	4673	19220
249	4692	19200
250	4710	19179
251	4728	19158
252	4747	19139
253	4765	19117
254	4783	19096
255	4801	19076
256	4820	19058
257	4839	19039
258	4858	19022
259	4877	19003
260	4895	18982
261	4915	18966
262	4934	18948
263	4952	18929
264	4971	18912
265	4989	18889
266	5008	18870
267	5026	18850
268	5045	18830
269	5063	18809
270	5081	18789
271	5100	18771
272	5119	18751
273	5137	18731
274	5155	18710
275	5173	18689
276	5191	18667
277	5210	18649
278	5229	18629
279	5246	18607
280	5263	18583
281	5282	18563
282	5302	18548
283	5320	18529
284	5339	18510
285	5358	18492
286	5377	18475
287	5397	18458
288	5415	18439
289	5434	18420
290	5453	18401
291	5471	18382
292	5490	18363
293	5508	18343
294	5527	18325
