iter	Passed	Remaining
0	107	152912
1	215	153631
2	327	155768
3	439	156660
4	549	156379
5	654	155296
6	762	154918
7	870	154698
8	978	154364
9	1084	153838
10	1192	153757
11	1302	153766
12	1411	153690
13	1525	154149
14	1635	154165
15	1741	153792
16	1774	147429
17	1890	148186
18	2004	148750
19	2110	148689
20	2225	149196
21	2334	149293
22	2445	149523
23	2559	149859
24	2674	150223
25	2788	150494
26	2905	150867
27	3020	151121
28	3126	150935
29	3239	151087
30	3355	151305
31	3469	151460
32	3574	151228
33	3696	151650
34	3811	151810
35	3925	151909
36	4034	151774
37	4155	152117
38	4268	152146
39	4382	152194
40	4496	152225
41	4609	152239
42	4717	152041
43	4830	152041
44	4932	151713
45	5046	151730
46	5167	151950
47	5279	151906
48	5399	152064
49	5507	151909
50	5626	152031
51	5755	152402
52	5872	152463
53	5985	152406
54	6098	152362
55	6211	152289
56	6337	152548
57	6451	152491
58	6566	152480
59	6680	152430
60	6793	152358
61	6910	152372
62	7024	152316
63	7139	152281
64	7258	152312
65	7378	152370
66	7497	152415
67	7609	152309
68	7726	152283
69	7842	152249
70	7964	152344
71	8086	152413
72	8199	152302
73	8311	152189
74	8423	152073
75	8548	152193
76	8666	152176
77	8791	152279
78	8919	152427
79	9039	152421
80	9158	152414
81	9274	152350
82	9401	152470
83	9514	152339
84	9640	152437
85	9765	152504
86	9883	152456
87	9996	152331
88	10106	152162
89	10221	152067
90	10348	152156
91	10472	152189
92	10595	152215
93	10708	152089
94	10835	152147
95	10954	152109
96	11084	152214
97	11204	152170
98	11323	152122
99	11439	152036
100	11566	152085
101	11693	152132
102	11807	152006
103	11930	151995
104	12046	151901
105	12164	151822
106	12283	151767
107	12410	151800
108	12533	151787
109	12643	151602
110	12752	151416
111	12864	151269
112	12984	151213
113	13103	151155
114	13217	151018
115	13345	151052
116	13454	150873
117	13580	150884
118	13705	150874
119	13827	150830
120	13949	150794
121	14065	150685
122	14195	150721
123	14310	150607
124	14434	150579
125	14550	150469
126	14663	150334
127	14779	150222
128	14893	150086
129	15020	150088
130	15140	150015
131	15268	150020
132	15386	149932
133	15500	149800
134	15619	149719
135	15742	149669
136	15858	149557
137	15976	149465
138	16093	149358
139	16217	149321
140	16337	149242
141	16456	149154
142	16572	149038
143	16692	148960
144	16818	148932
145	16935	148820
146	17054	148736
147	17159	148523
148	17270	148362
149	17383	148225
150	17502	148135
151	17609	147946
152	17728	147856
153	17845	147750
154	17967	147678
155	18083	147564
156	18202	147473
157	18322	147392
158	18438	147275
159	18560	147207
160	18682	147136
161	18808	147097
162	18926	146996
163	19050	146947
164	19173	146877
165	19294	146804
166	19415	146720
167	19533	146616
168	19652	146518
169	19763	146368
170	19879	146250
171	19989	146084
172	20093	145880
173	20213	145789
174	20322	145622
175	20429	145444
176	20540	145294
177	20654	145159
178	20780	145113
179	20908	145079
180	21037	145055
181	21153	144936
182	21275	144862
183	21393	144755
184	21509	144634
185	21619	144479
186	21734	144355
187	21845	144205
188	21958	144064
189	22067	143901
190	22174	143727
191	22296	143652
192	22410	143520
193	22526	143401
194	22639	143265
195	22757	143164
196	22867	143011
197	22975	142841
198	23083	142679
199	23203	142584
200	23317	142459
201	23437	142365
202	23554	142257
203	23666	142116
204	23771	141931
205	23884	141797
206	23991	141631
207	24107	141517
208	24226	141419
209	24348	141334
210	24471	141260
211	24595	141190
212	24704	141035
213	24825	140951
214	24943	140845
215	25066	140766
216	25185	140665
217	25286	140469
218	25404	140363
219	25514	140214
220	25638	140139
221	25745	139976
222	25849	139796
223	25961	139658
224	26079	139554
225	26195	139438
226	26303	139278
227	26426	139201
228	26537	139060
229	26652	138941
230	26756	138762
231	26857	138571
232	26973	138454
233	27083	138310
234	27197	138187
235	27303	138023
236	27425	137939
237	27540	137818
238	27655	137696
239	27768	137572
240	27880	137433
241	27996	137322
242	28112	137209
243	28222	137062
244	28326	136892
245	28448	136809
246	28569	136717
247	28685	136605
248	28807	136516
249	28921	136393
250	29043	136308
251	29164	136216
252	29275	136077
253	29389	135953
254	29488	135764
255	29592	135593
256	29716	135515
257	29833	135407
258	29937	135239
259	30049	135107
260	30167	135000
261	30281	134881
262	30401	134783
263	30523	134696
264	30639	134581
265	30758	134479
266	30875	134371
267	30993	134268
268	31099	134110
269	31212	133982
270	31324	133850
271	31437	133725
272	31539	133551
273	31650	133418
274	31771	133325
275	31894	133240
276	32007	133113
277	32125	133010
278	32235	132868
279	32353	132764
280	32462	132623
281	32575	132497
282	32683	132351
283	32795	132222
284	32920	132144
285	33034	132024
286	33152	131916
287	33266	131796
288	33375	131654
289	33486	131521
290	33592	131368
291	33706	131248
292	33815	131106
293	33940	131028
294	34058	130923
295	34170	130795
296	34282	130665
297	34403	130570
298	34514	130439
299	34617	130277
300	34727	130140
301	34838	130010
302	34952	129890
303	35069	129779
304	35189	129682
305	35303	129560
306	35419	129448
